
Insertion Sort:
Size | Time
328 |  0.00 seconds
329 |  0.00 seconds
330 |  0.00 seconds
331 |  0.00 seconds
332 |  0.00 seconds
333 |  0.00 seconds
334 |  0.00 seconds
335 |  0.00 seconds
336 |  0.00 seconds
337 |  0.00 seconds
338 |  0.00 seconds
339 |  0.00 seconds
340 |  0.00 seconds
341 |  0.00 seconds
342 |  0.00 seconds
343 |  0.00 seconds
344 |  0.00 seconds
345 |  0.00 seconds
346 |  0.00 seconds
347 |  0.00 seconds
348 |  0.00 seconds
349 |  0.00 seconds
350 |  0.00 seconds
351 |  0.00 seconds
352 |  0.00 seconds
353 |  0.00 seconds
354 |  0.00 seconds
355 |  0.00 seconds
356 |  0.00 seconds
357 |  0.00 seconds
358 |  0.00 seconds
359 |  0.00 seconds
360 |  0.00 seconds
361 |  0.00 seconds
362 |  0.00 seconds
363 |  0.00 seconds
364 |  0.00 seconds
365 |  0.00 seconds
366 |  0.00 seconds
367 |  0.00 seconds
368 |  0.00 seconds
369 |  0.00 seconds
370 |  0.00 seconds
371 |  0.00 seconds
372 |  0.00 seconds
373 |  0.01 seconds
374 |  0.00 seconds
375 |  0.00 seconds
376 |  0.00 seconds
377 |  0.00 seconds
378 |  0.00 seconds
379 |  0.00 seconds
380 |  0.00 seconds
381 |  0.00 seconds
382 |  0.00 seconds
383 |  0.00 seconds
384 |  0.00 seconds
385 |  0.00 seconds
386 |  0.00 seconds
387 |  0.00 seconds
388 |  0.00 seconds
389 |  0.00 seconds
390 |  0.00 seconds
391 |  0.00 seconds
392 |  0.00 seconds
393 |  0.00 seconds
394 |  0.00 seconds
395 |  0.00 seconds
396 |  0.00 seconds
397 |  0.00 seconds
398 |  0.00 seconds
399 |  0.00 seconds
400 |  0.00 seconds
401 |  0.00 seconds
402 |  0.00 seconds
403 |  0.00 seconds
404 |  0.00 seconds
405 |  0.00 seconds
406 |  0.00 seconds
407 |  0.00 seconds
408 |  0.00 seconds
409 |  0.00 seconds
410 |  0.00 seconds
411 |  0.00 seconds
412 |  0.00 seconds
413 |  0.00 seconds
414 |  0.00 seconds
415 |  0.00 seconds
416 |  0.00 seconds
417 |  0.00 seconds
418 |  0.00 seconds
419 |  0.00 seconds
420 |  0.00 seconds
421 |  0.00 seconds
422 |  0.00 seconds
423 |  0.00 seconds
424 |  0.00 seconds
425 |  0.00 seconds
426 |  0.00 seconds
427 |  0.00 seconds
428 |  0.00 seconds
429 |  0.00 seconds
430 |  0.00 seconds
431 |  0.00 seconds
432 |  0.00 seconds
433 |  0.00 seconds
434 |  0.00 seconds
435 |  0.00 seconds
436 |  0.00 seconds
437 |  0.00 seconds
438 |  0.00 seconds
439 |  0.00 seconds
440 |  0.00 seconds
441 |  0.00 seconds
442 |  0.00 seconds
443 |  0.00 seconds
444 |  0.00 seconds
445 |  0.00 seconds
446 |  0.00 seconds
447 |  0.00 seconds
448 |  0.00 seconds
449 |  0.00 seconds
450 |  0.00 seconds
451 |  0.00 seconds
452 |  0.00 seconds
453 |  0.00 seconds
454 |  0.00 seconds
455 |  0.00 seconds
456 |  0.00 seconds
457 |  0.00 seconds
458 |  0.00 seconds
459 |  0.00 seconds
460 |  0.00 seconds
461 |  0.00 seconds
462 |  0.00 seconds
463 |  0.00 seconds
464 |  0.00 seconds
465 |  0.00 seconds
466 |  0.00 seconds
467 |  0.01 seconds
468 |  0.00 seconds
469 |  0.00 seconds
470 |  0.00 seconds
471 |  0.00 seconds
472 |  0.00 seconds
473 |  0.00 seconds
474 |  0.00 seconds
475 |  0.00 seconds
476 |  0.00 seconds
477 |  0.00 seconds
478 |  0.00 seconds
479 |  0.00 seconds
480 |  0.00 seconds
481 |  0.00 seconds
482 |  0.00 seconds
483 |  0.00 seconds
484 |  0.00 seconds
485 |  0.00 seconds
486 |  0.00 seconds
487 |  0.00 seconds
488 |  0.00 seconds
489 |  0.00 seconds
490 |  0.00 seconds
491 |  0.00 seconds
492 |  0.00 seconds
493 |  0.00 seconds
494 |  0.00 seconds
495 |  0.00 seconds
496 |  0.00 seconds
497 |  0.00 seconds
498 |  0.00 seconds
499 |  0.00 seconds
500 |  0.00 seconds
501 |  0.00 seconds
502 |  0.00 seconds
503 |  0.00 seconds
504 |  0.00 seconds
505 |  0.00 seconds
506 |  0.00 seconds
507 |  0.00 seconds
508 |  0.00 seconds
509 |  0.00 seconds
510 |  0.00 seconds
511 |  0.00 seconds
512 |  0.00 seconds
513 |  0.00 seconds
514 |  0.00 seconds
515 |  0.00 seconds
516 |  0.00 seconds
517 |  0.00 seconds
518 |  0.00 seconds
519 |  0.00 seconds
520 |  0.00 seconds
521 |  0.00 seconds
522 |  0.00 seconds
523 |  0.00 seconds
524 |  0.00 seconds
525 |  0.00 seconds
526 |  0.00 seconds
527 |  0.00 seconds
528 |  0.00 seconds
529 |  0.00 seconds
530 |  0.00 seconds
531 |  0.00 seconds
532 |  0.01 seconds
533 |  0.00 seconds
534 |  0.00 seconds
535 |  0.00 seconds
536 |  0.00 seconds
537 |  0.00 seconds
538 |  0.00 seconds
539 |  0.00 seconds
540 |  0.00 seconds
541 |  0.00 seconds
542 |  0.00 seconds
